Date,KRWUSD=X,HKDUSD=X,EURUSD=X,JPYUSD=X,TWDUSD=X,ILAUSD=X,CADUSD=X,THBUSD=X
2010-01-01,0.0008726003579795361,0.1289839893579483,1.4389938116073608,0.010761945508420467,0.03158559650182724,,0.9512937068939209,0.030505476519465446
2010-01-04,0.0008830801816657186,0.12893742322921753,1.4423978328704834,0.01081139501184225,0.031387317925691605,,0.960614800453186,0.030688026919960976
2010-01-05,0.000876193749718368,0.12893909215927124,1.4365959167480469,0.010918818414211273,0.03146633133292198,,0.9620009660720825,0.030135005712509155
2010-01-06,0.0008846425916999578,0.12896569073200226,1.4404033422470093,0.010827666148543358,0.031436655670404434,,0.9690861105918884,0.03033796325325966
2010-01-07,0.0008811348816379905,0.1289457380771637,1.4318032264709473,0.010707784444093704,0.03145643323659897,,0.967117965221405,0.030350854620337486
2010-01-08,0.0008903926936909556,0.1289341002702713,1.44110906124115,0.0107921427115798,0.03151591494679451,,0.9710623025894165,0.030457161366939545
2010-01-11,0.0008918219245970249,0.12895239889621735,1.4511260986328125,0.010858706198632717,0.031436655670404434,,0.967305064201355,0.03040900267660618
2010-01-12,0.0008899964741431177,0.1289590448141098,1.447659969329834,0.010979359038174152,0.03152585029602051,,0.9622787237167358,0.030332444235682487
2010-01-13,0.0008932559285312891,0.12894076108932495,1.4523905515670776,0.010936970822513103,0.03151591494679451,,0.9701203107833862,0.03050919808447361
2010-01-14,0.0008922995184548199,0.1289208084344864,1.4499897956848145,0.010956862941384315,0.031496062874794006,,0.9771350622177124,0.030648523941636086
2010-01-15,0.0008914244826883078,0.12886099517345428,1.4390974044799805,0.011019283905625343,0.0315357930958271,,0.9718172550201416,0.030610060319304466
2010-01-18,0.0008910273318178952,0.12882281839847565,1.4406731128692627,0.011024750769138336,0.03145643323659897,,0.9758002161979675,0.030648523941636086
2010-01-19,0.0008864462724886835,0.12881451845169067,1.4281021356582642,0.010965032503008842,0.03136762976646423,,0.9692739844322205,0.030616620555520058
2010-01-20,0.0008832362364046276,0.1287415474653244,1.4110342264175415,0.010965874418616295,0.031318508088588715,,0.9567546844482422,0.030530620366334915
2010-01-21,0.0008755800663493574,0.12868687510490417,1.4097015857696533,0.01106280367821455,0.03130870312452316,,0.9518370032310486,0.030490592122077942
2010-01-22,0.0008664010092616081,0.1286703199148178,1.414107084274292,0.01113461796194315,0.031357791274785995,,0.9457159042358398,0.030416401103138924
2010-01-25,0.000884329667314887,0.12873658537864685,1.4150075912475586,0.011060111224651337,0.03125976771116257,,0.9461632966995239,0.030809994786977768
2010-01-26,0.0008623663452453911,0.1286190152168274,1.4082324504852295,0.011156979016959667,0.03123048134148121,,0.9415308833122253,0.030420100316405296
2010-01-27,0.0008592541562393308,0.12860743701457977,1.4030951261520386,0.011117287911474705,0.03130870312452316,,0.9402031302452087,0.030404379591345787
2010-01-28,0.0008672274998389184,0.12874487042427063,1.3968042135238647,0.011138586327433586,0.03132832050323486,,0.9379982948303223,0.03036191314458847
2010-01-29,0.0008634087862446904,0.12880787253379822,1.3866932392120361,0.011077878065407276,0.03126954287290573,,0.9345793724060059,0.030294768512248993
2010-02-01,0.0008596974075771868,0.12873989343643188,1.3926994800567627,0.011018069460988045,0.03124023973941803,,0.9418856501579285,0.030352698639035225
2010-02-02,0.0008640055311843753,0.1287630945444107,1.3976240158081055,0.011058521457016468,0.03127932548522949,,0.9459126591682434,0.030414549633860588
2010-02-03,0.0008707767119631171,0.12875813245773315,1.3901052474975586,0.0110083669424057,0.031191514804959297,,0.9417969584465027,0.03039790876209736
2010-02-04,0.000871839583851397,0.12870675325393677,1.3744947910308838,0.011184430681169033,0.031181789934635162,,0.9328358173370361,0.030319569632411003
2010-02-05,0.0008599191205576062,0.12871503829956055,1.368007779121399,0.011208249256014824,0.031191514804959297,,0.9337940216064453,0.030447889119386673
2010-02-08,0.0008522243006154895,0.12868687510490417,1.3654673099517822,0.011208249256014824,0.03124023973941803,,0.9305961728096008,0.030219698324799538
2010-02-09,0.0008631851524114609,0.12871669232845306,1.378207802772522,0.011139827780425549,0.031191514804959297,,0.9370315074920654,0.03028559312224388
2010-02-10,0.0008632596582174301,0.1287117302417755,1.3753266334533691,0.011119759641587734,0.03125,,0.9416195750236511,0.030405303463339806
2010-02-11,0.0008676036959514022,0.12872283160686493,1.3681762218475342,0.01113461796194315,0.031152648851275444,,0.9521995782852173,0.030449742451310158
2010-02-12,0.0008689606911502779,0.12870842218399048,1.363493800163269,0.011117287911474705,0.031181789934635162,,0.951973021030426,0.030341647565364838
2010-02-15,0.0008722958737052977,0.12867197394371033,1.3603036403656006,0.011104941368103027,0.03121098503470421,,0.9531434774398804,0.03030119463801384
2010-02-16,0.0008732099668122828,0.12871520221233368,1.3767088651657104,0.011081068776547909,0.03127932548522949,,0.9584051966667175,0.030392365530133247
2010-02-17,0.0008714597206562757,0.12874138355255127,1.3606922626495361,0.010982976295053959,0.03125976771116257,,0.9558401703834534,0.03029293194413185
2010-02-18,0.0008677542209625244,0.1287572979927063,1.3461486101150513,0.010872283950448036,0.03124023973941803,,0.9520998597145081,0.030084233731031418
2010-02-19,0.0008724481449462473,0.12877139449119568,1.3615074157714844,0.010924185626208782,0.03125,,0.9622787237167358,0.03051571547985077
2010-02-22,0.0008711559930816293,0.1288246512413025,1.3605626821517944,0.010960705578327179,0.031191514804959297,,0.9595087766647339,0.03041732683777809
2010-02-23,0.0008649022784084082,0.1288299560546875,1.3527040481567383,0.011091392487287521,0.03123048134148121,,0.9478673338890076,0.03038959577679634
